Label,Acc X-mean,Acc X-median,Acc X-std,Acc X-mad,Acc X-max,Acc X-min,Acc X-iqr,Acc X-autocorr,Acc Y-mean,Acc Y-median,Acc Y-std,Acc Y-mad,Acc Y-max,Acc Y-min,Acc Y-iqr,Acc Y-autocorr,Acc Z-mean,Acc Z-median,Acc Z-std,Acc Z-mad,Acc Z-max,Acc Z-min,Acc Z-iqr,Acc Z-autocorr,Gyro X-mean,Gyro X-median,Gyro X-std,Gyro X-mad,Gyro X-max,Gyro X-min,Gyro X-iqr,Gyro X-autocorr,Gyro Y-mean,Gyro Y-median,Gyro Y-std,Gyro Y-mad,Gyro Y-max,Gyro Y-min,Gyro Y-iqr,Gyro Y-autocorr,Gyro Z-mean,Gyro Z-median,Gyro Z-std,Gyro Z-mad,Gyro Z-max,Gyro Z-min,Gyro Z-iqr,Gyro Z-autocorr
2,2.583750665,2.601898671,0.118435649,0.062249184,2.738368273,2.235585928,0.129286766,0.8305306,-9.270875368,-9.270348549,0.037868912,0.028730392,-9.179368973,-9.375694275,0.050278186,0.566679876,0.200011611,0.231040463,0.07035012,0.062249243,0.322020143,0.05865794,0.101753578,0.775368088,0.000410127,0.001597896,0.00686623,0.005459477,0.009321057,-0.01304948,0.012117374,0.970041083,0.007190529,0.009187899,0.020830706,0.010586058,0.046472125,-0.029960539,0.023202775,0.937389383,0.006632598,0.008122635,0.004533367,0.002996054,0.012916322,-0.001731053,0.007057371,0.898980396
2,2.512834418,2.52767849,0.108938631,0.067037583,2.728791475,2.235585928,0.11492157,0.781616108,-9.292375298,-9.294290543,0.028020475,0.009576798,-9.18894577,-9.375694275,0.019153595,0.253761491,0.239037096,0.254982471,0.074381347,0.038307219,0.345962137,0.05865794,0.081402868,0.848594595,0.001909485,0.00133158,0.004638947,0.004261055,0.009321057,-0.004394213,0.009454215,0.972940196,-0.005025381,-0.004394213,0.012874699,0.009853689,0.019574219,-0.029960539,0.017843167,0.932002965,0.00346477,0.002796317,0.005089506,0.004127897,0.012916322,-0.00452737,0.007989478,0.94536893
2,2.53466949,2.532466888,0.108544415,0.086191415,2.757521868,2.345719099,0.197521686,0.651598493,-9.281361971,-9.289502144,0.041791611,0.023941994,-9.184157372,-9.366117477,0.03830719,0.584976477,0.283234061,0.266953498,0.045936317,0.040701419,0.36990416,0.197521642,0.081402868,0.785653593,-0.000324905,-0.000399474,0.003706131,0.003062633,0.006125266,-0.005592634,0.006924214,0.885283611,-0.005474124,-0.006125266,0.015904557,0.003994738,0.032756858,-0.02543317,0.006225134,0.918174774,-0.000731037,-0.000532632,0.008965879,0.003328949,0.013182637,-0.021438431,0.006391582,0.940314923
2,2.561771865,2.556408882,0.095499889,0.067037582,2.757521868,2.345719099,0.181959152,0.670561309,-9.272120352,-9.270348549,0.042707929,0.021547794,-9.184157372,-9.366117477,0.049081087,0.592825402,0.279163921,0.266953498,0.050033498,0.035913035,0.36990416,0.183156431,0.081402868,0.789947702,0.000163784,-0.000399474,0.003458166,0.002530001,0.006125266,-0.005592634,0.00585895,0.871731418,-0.002709764,-0.000399474,0.015542511,0.00452737,0.032756858,-0.02543317,0.007723162,0.926498705,0.001274322,0.003129212,0.009789505,0.004993423,0.013182637,-0.021438431,0.011185268,0.948949251
2,2.540559282,2.546832085,0.045795868,0.028730392,2.690484047,2.460640907,0.073023081,0.742674131,-9.277627001,-9.275136948,0.025983126,0.019153595,-9.208099365,-9.337387085,0.033518792,0.536642665,0.261877783,0.269347697,0.040312315,0.028730423,0.350750536,0.183156431,0.044292733,0.759578134,-0.001543301,-0.001597896,0.002047545,0.001198422,0.003728423,-0.003728423,0.002929475,0.825548317,-0.001262338,0.0,0.009283174,0.003595265,0.018375797,-0.018109482,0.008089346,0.896442939,0.000119842,0.000399474,0.00564648,0.005725792,0.011318427,-0.007456846,0.008255793,0.953990336
2,2.559952314,2.556408882,0.066331256,0.03830719,2.714426279,2.460640907,0.086191178,0.771453924,-9.270109205,-9.270348549,0.028934353,0.023941994,-9.222464561,-9.31823349,0.047883988,0.637928372,0.253402307,0.250194073,0.029392326,0.019153624,0.350750536,0.183156431,0.033518835,0.579961783,-0.000161121,-0.00133158,0.003051783,0.002130527,0.006791056,-0.003728423,0.005526055,0.907762697,-0.001978727,0.001265001,0.012695775,0.010186584,0.018375797,-0.018508956,0.027830012,0.918282002,-0.001695101,-0.002929475,0.003576703,0.003728423,0.004660529,-0.007456846,0.005326318,0.909935471
2,2.573647134,2.56598568,0.059566541,0.023941994,2.714426279,2.465429306,0.045489788,0.719859245,-9.266230526,-9.26556015,0.025255608,0.019153595,-9.208099365,-9.308655739,0.043095589,0.540616838,0.267049258,0.264559299,0.032679003,0.028730437,0.345962137,0.211886853,0.057460845,0.706180437,0.001720401,0.002263685,0.002875338,0.002396843,0.006791056,-0.003195791,0.004394213,0.92919865,-0.00104529,0.002530001,0.011332973,0.007323687,0.015313165,-0.018508956,0.019307903,0.936009441,0.00285757,0.004261055,0.003491183,0.002530002,0.007590003,-0.002929475,0.004261054,0.942536833
2,2.541756382,2.546832085,0.039771468,0.021547794,2.695272446,2.465429306,0.03830719,0.622925425,-9.282271662,-9.289502144,0.01915958,0.014365196,-9.208099365,-9.308655739,0.033518791,0.528501693,0.28845342,0.288501292,0.022567567,0.014365226,0.345962137,0.216675252,0.038307219,0.46290331,0.000774979,0.000798948,0.002826759,0.001464737,0.006791056,-0.003462107,0.002663159,0.92163193,-0.000183758,0.002130527,0.008056443,0.005992108,0.015313165,-0.018508956,0.009454215,0.875428256,0.002424806,0.004261055,0.003874443,0.003328948,0.007590003,-0.002929475,0.007356977,0.970988773
2,2.537973547,2.537255287,0.03672919,0.019153595,2.690484047,2.479794502,0.049081087,0.65774969,-9.282415314,-9.287107945,0.01920769,0.011970996,-9.232041359,-9.308655739,0.029927492,0.678114706,0.297790804,0.302866518,0.021434071,0.014365226,0.336385339,0.254982471,0.028730422,0.728688861,-0.001263669,-0.000399474,0.002296752,0.002263685,0.002263685,-0.004793686,0.003861581,0.933224098,-0.0002277,0.000199737,0.00539037,0.002063948,0.01304948,-0.008522109,0.005759082,0.869026411,-0.001214401,-0.001464737,0.002199624,0.001331579,0.00652474,-0.003861581,0.002563291,0.836132275
2,2.564692812,2.558803082,0.046935561,0.03591299,2.690484047,2.484582901,0.064643383,0.771355214,-9.27240757,-9.275136948,0.018864318,0.019153595,-9.232041359,-9.332598686,0.033518791,0.61654167,0.282755219,0.283712894,0.035081966,0.028730422,0.336385339,0.192733243,0.057460845,0.832322156,-0.002226401,-0.002663159,0.001882955,0.001464737,0.000266316,-0.004793686,0.003595265,0.883419896,0.001190432,-0.001731053,0.007140435,0.003062633,0.01304948,-0.007723161,0.011185268,0.89942988,-0.001009337,-0.000266316,0.00163755,0.001198421,0.002263685,-0.003861581,0.001731053,0.889817207
